activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1184334,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccc([N+](=O)[O-])cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '13.63', 'le': '0.26', 'lle': '2.50', 'sei': '3.55'}",CHEMBL3144682,,CHEMBL3144682,6.40,0,http://www.openphacts.org/units/Nanomolar,234728,=,1,1,=,,EC50,nM,,400.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.4
,1187111,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,O=S(=O)(O)c1cc(O)c(/N=N/c2c(O)ccc3cc(O)ccc23)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '13.89', 'le': '0.27', 'lle': '0.93', 'sei': '4.08'}",CHEMBL125996,,CHEMBL125996,5.70,0,http://www.openphacts.org/units/Nanomolar,234684,=,1,1,=,,EC50,nM,,2000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,2.0
,1187113,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccc(C(C)C)cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '15.34', 'le': '0.30', 'lle': '2.03', 'sei': '5.22'}",CHEMBL3144783,,CHEMBL3144783,7.16,0,http://www.openphacts.org/units/Nanomolar,234726,=,1,1,=,,EC50,nM,,70.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.07
,1188428,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,O=S(=O)(O)c1cc(O)c(/N=N/c2c(O)c(O)cc3ccccc23)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '13.89', 'le': '0.27', 'lle': '0.93', 'sei': '4.08'}",CHEMBL122504,,CHEMBL122504,5.70,0,http://www.openphacts.org/units/Nanomolar,234736,=,1,1,=,,EC50,nM,,2000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,2.0
,1188430,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,CCNS(=O)(=O)c1cccc(-n2[nH]c(C)c(/N=N/c3c(O)cc(S(=O)(=O)O)c4ccccc34)c2=O)c1,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '9.41', 'le': '0.19', 'lle': '1.71', 'sei': '2.73'}",CHEMBL3144667,,CHEMBL3144667,5.00,0,http://www.openphacts.org/units/Nanomolar,234722,=,1,1,=,,EC50,nM,,10000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,10.0
,1188432,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,CCOC(=O)c1[nH]n(-c2ccc(C(C)(C)C)cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '10.58', 'le': '0.20', 'lle': '0.54', 'sei': '3.49'}",CHEMBL3144785,,CHEMBL3144785,5.70,0,http://www.openphacts.org/units/Nanomolar,234712,=,1,1,=,,EC50,nM,,2000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,2.0
,1189947,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccc(OCc3ccccc3)cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '12.63', 'le': '0.24', 'lle': '1.13', 'sei': '4.58'}",CHEMBL3144672,,CHEMBL3144672,6.70,0,http://www.openphacts.org/units/Nanomolar,234695,=,1,1,=,,EC50,nM,,200.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.2
,1189949,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccc(C(C)(C)C)cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '16.02', 'le': '0.31', 'lle': '2.41', 'sei': '5.62'}",CHEMBL3144775,,CHEMBL3144775,7.70,0,http://www.openphacts.org/units/Nanomolar,234724,=,1,1,=,,EC50,nM,,20.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.02
,1191048,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccccc2Cl)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,,CHEMBL3144679,,CHEMBL3144679,,0,http://www.openphacts.org/units/Nanomolar,234733,>,1,1,>,,EC50,nM,,30000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,30.0
,1192364,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,COc1cc(O)c2ccccc2c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '13.01', 'le': '0.25', 'lle': '0.45', 'sei': '4.29'}",CHEMBL340040,,CHEMBL340040,5.52,0,http://www.openphacts.org/units/Nanomolar,234681,=,1,1,=,,EC50,nM,,3000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,3.0
,1192366,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccc(S(C)(=O)=O)cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '10.99', 'le': '0.22', 'lle': '2.12', 'sei': '3.23'}",CHEMBL3144788,,CHEMBL3144788,5.52,0,http://www.openphacts.org/units/Nanomolar,234723,=,1,1,=,,EC50,nM,,3000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,3.0
,1193574,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1cccc(-n2[nH]c(C)c(/N=N/c3c(O)cc(S(=O)(=O)O)c4ccccc34)c2=O)c1,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '14.04', 'le': '0.27', 'lle': '1.85', 'sei': '4.49'}",CHEMBL3144786,,CHEMBL3144786,6.16,0,http://www.openphacts.org/units/Nanomolar,234701,=,1,1,=,,EC50,nM,,700.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.7
,1194914,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccc(Cl)cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '12.42', 'le': '0.25', 'lle': '1.05', 'sei': '4.16'}",CHEMBL3144789,,CHEMBL3144789,5.70,0,http://www.openphacts.org/units/Nanomolar,234731,=,1,1,=,,EC50,nM,,2000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,2.0
,1196144,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,O=S(=O)(O)c1cc(O)c(/N=N/c2c(O)c3ccccc3c3ccccc23)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '15.07', 'le': '0.29', 'lle': '0.48', 'sei': '5.60'}",CHEMBL124367,,CHEMBL124367,6.70,0,http://www.openphacts.org/units/Nanomolar,234676,=,1,1,=,,EC50,nM,,200.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.2
,1196146,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccc(F)cc2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '14.24', 'le': '0.28', 'lle': '2.17', 'sei': '4.60'}",CHEMBL3144776,,CHEMBL3144776,6.30,0,http://www.openphacts.org/units/Nanomolar,234697,=,1,1,=,,EC50,nM,,500.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.5
,1196148,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-n2[nH]c(C)c(/N=N/c3c(O)cc(C(=O)O)c4ccccc34)c2=O)cc1C,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '14.41', 'le': '0.26', 'lle': '0.94', 'sei': '5.00'}",CHEMBL3144677,,CHEMBL3144677,6.00,0,http://www.openphacts.org/units/Nanomolar,234706,=,1,1,=,,EC50,nM,,1000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,1.0
,1197367,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,CCOc1nn(-c2ccc(C)c(C)c2)c(O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '12.89', 'le': '0.25', 'lle': '1.11', 'sei': '4.24'}",CHEMBL121918,,CHEMBL121918,6.22,0,http://www.openphacts.org/units/Nanomolar,234713,=,1,1,=,,EC50,nM,,600.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.6
,1200104,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2cccc(C(C)(C)C)c2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '14.89', 'le': '0.29', 'lle': '1.86', 'sei': '5.22'}",CHEMBL3144778,,CHEMBL3144778,7.16,0,http://www.openphacts.org/units/Nanomolar,234725,=,1,1,=,,EC50,nM,,70.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.07
,1201342,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccccc1-n1[nH]c(C)c(/N=N/c2c(O)cc(S(=O)(=O)O)c3ccccc23)c1=O,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '11.40', 'le': '0.22', 'lle': '0.70', 'sei': '3.65'}",CHEMBL3144665,,CHEMBL3144665,5.00,0,http://www.openphacts.org/units/Nanomolar,234702,=,1,1,=,,EC50,nM,,10000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,10.0
,1201344,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-n2[nH]c(C)c(/N=N/c3c(O)cc(C(=O)O)c4ccccc34)c2=O)cc1,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '14.16', 'le': '0.26', 'lle': '0.95', 'sei': '4.75'}",CHEMBL3144780,,CHEMBL3144780,5.70,0,http://www.openphacts.org/units/Nanomolar,234707,=,1,1,=,,EC50,nM,,2000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,2.0
,1204119,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-n2[nH]cc(/N=N/c3c(O)cc(S(=O)(=O)O)c4ccccc34)c2=O)cc1C,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '15.96', 'le': '0.31', 'lle': '2.70', 'sei': '5.11'}",CHEMBL3144666,,CHEMBL3144666,7.00,0,http://www.openphacts.org/units/Nanomolar,234716,=,1,1,=,,EC50,nM,,100.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.1
,1204121,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-n2[nH]c(-c3ccccc3)c(/N=N/c3c(O)cc(S(=O)(=O)O)c4ccccc34)c2=O)cc1C,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '11.75', 'le': '0.22', 'lle': '0.08', 'sei': '4.41'}",CHEMBL3144790,,CHEMBL3144790,6.05,0,http://www.openphacts.org/units/Nanomolar,234714,=,1,1,=,,EC50,nM,,900.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,0.9
,1205615,[],CHEMBL815867,Effective concentration for thrombopoietin luciferase activity was determined in BAF-3 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1[nH]n(-c2ccccn2)c(=O)c1/N=N/c1c(O)cc(S(=O)(=O)O)c2ccccc12,,,CHEMBL1134668,J. Med. Chem.,2001,"{'bei': '12.12', 'le': '0.23', 'lle': '1.76', 'sei': '3.44'}",CHEMBL3144676,,CHEMBL3144676,5.16,0,http://www.openphacts.org/units/Nanomolar,234685,=,1,1,=,,EC50,nM,,7000.0,CHEMBL1864,Homo sapiens,Thrombopoietin receptor,9606,,,EC50,uM,UO_0000065,,7.0
